// HSK 2012-2018/Level 1
锻炼	duan4lian4
多么	duo1me5
饿	e4
耳朵	er3duo5
发	fa1
发烧	fa1shao1
发现	fa1xian4
方便	fang1bian4
放	fang4
放心	fang4//xin1
分	fen1
附近	fu4jin4
复习	fu4xi2
干净	gan1jing4
感冒	gan3mao4
感兴趣	gan3 xing4qu4
刚才	gang1cai2
个子	ge4zi5
根据	gen1ju4
跟	gen1
更	geng4
公斤	gong1jin1
公园	gong1yuan2
故事	gu4shi5
刮风	gua1feng1
关	guan1
关系	guan1xi5
关心	guan1xin1
关于	guan1yu2
国家	guo2jia1
过	guo4
过去	guo4//qu5
还是	hai2shi5
害怕	hai4pa4
黑板	hei1ban3
后来	hou4lai2
护照	hu4zhao4
花	hua1
画	hua4
坏	huai4
欢迎	huan1ying2
还	hai2
环境	huan2jing4
换	huan4
黄河	Huang2 He2
回答	hui2da2
会议	hui4yi4
或者	huo4zhe3
几乎	ji1hu1
机会	ji1hui5
极	ji2
记得	ji4//de5
季节	ji4jie2
检查	jian3cha2
简单	jian3dan1
见面	jian4//mian4
健康	jian4kang1
讲	jiang3
教	jiao4
角	jiao3
脚	jiao3
接	jie1
街道	jie1dao4
节目	jie2mu4
节日	jie2ri4
结婚	jie2//hun1
结束	jie2shu4
解决	jie3jue2
借	jie4
经常	jing1chang2
经过	jing1guo4
经理	jing1li3
久	jiu3
旧	jiu4
句子	ju4zi5
决定	jue2ding4
可爱	ke3ai4
渴	ke3
刻	ke4
客人	ke4ren5
空调	kong1tiao2
口	kou3
哭	ku1
裤子	ku4zi5
筷子	kuai4zi5
蓝	lan2
老	lao3
离开	li2//kai1
礼物	li3wu4
历史	li4shi3
脸	lian3
练习	lian4xi2
辆	liang4
聊天	liao2tian1
了解	liao3jie3
邻居	lin2ju1
留学	liu2//xue2
楼	lou2
绿	lü4
马	ma3
马上	ma3shang4
满意	man3yi4
帽子	mao4zi5
米	mi3
面包	mian4bao1
明白	ming2bai5
拿	na2
奶奶	nai3nai5
南	nan2
难	nan2
难过	nan2guo4
年级	nian2ji2
年轻	nian2qing1
鸟	niao3
努力	nu3li4
爬山	pa2shan1
盘子	pan2zi5
胖	pang4
皮鞋	pi2xie2
啤酒	pi2jiu3
瓶子	ping2zi5
其实	qi2shi2
其他	qi2ta1
奇怪	qi2guai4
骑	qi2
起飞	qi3fei1
起来	qi3 //lai5
清楚	qing1chu5
请假	qing3//jia4
秋	qiu1
裙子	qun2zi5
然后	ran2hou4
热情	re4qing2
认为	ren4wei2
认真	ren4zhen1
容易	rong2yi4
如果	ru2guo3
伞	san3
上网	shang4//wang3
生气	sheng1//qi4
声音	sheng1yin1
世界	shi4jie4
试	shi4
瘦	shou4
叔叔	shu1shu5
舒服	shu1fu5
树	shu4
数学	shu4xue2
刷牙	shua1//ya2
双	shuang1
水平	shui3ping2
司机	si1ji1
太阳	tai4yang2
特别	te4bie2
疼	teng2
提高	ti2//gao1
体育	ti3yu4
甜	tian2
条	tiao2
同事	tong2shi4
同意	tong2yi4
头发	tou2fa5
突然	tu1ran2
图书馆	tu2shu1guan3
腿	tui3
完成	wan2//cheng2
碗	wan3
万	wan4
忘记	wang4ji4
为	wei4
为了	wei4le5
位	wei4
文化	wen2hua4
西	xi1
习惯	xi2guan4
洗手间	xi3shou3jian1
洗澡	xi3//zao3
夏	xia4
先	xian1
相信	xiang1xin4
香蕉	xiang1jiao1
向	xiang4
像	xiang4
小心	xiao3xin5
校长	xiao4zhang3
新闻	xin1wen2
新鲜	xin1xian5
信用卡	xin4yong4ka3
行李箱	xing2li3xiang1
熊猫	xiong2mao1
需要	xu1yao4
选择	xuan3ze2
要求	yao1qiu2
爷爷	ye2ye5
一般	yi1ban1
一边	yi1bian1
一定	yi1ding4
一共	yi1gong4
一会儿	yi1hui4r5
一样	yi1yang4
一直	yi1zhi2
以前	yi3qian2
音乐	yin1yue4
银行	yin2hang2
饮料	yin3liao4
应该	ying1gai1
影响	ying3xiang3
用	yong4
游戏	you2xi4
有名	you3//ming2
又	you4
遇到	yu4//dao4
元	yuan2
愿意	yuan4yi5
月亮	yue4liang5
越	yue4
站	zhan4
张	zhang1
长	zhang3
着急	zhao2//ji2
照顾	zhao4gu5
照片	zhao4pian4
照相机	zhao4xiang4ji1
只	zhi3
